2,15,5,13,19,10,8,11,16,1,14,6,17,9,4,7,18,0,12,3
9,3,8,12,10,19,14,2,16,13,18,6,0,4,15,11,1,7,17,5
7,5,8,12,4,10,11,14,18,3,13,17,15,0,1,19,2,6,9,16
18,1,10,5,7,9,13,3,19,8,0,14,4,16,6,12,15,11,2,17
5,4,18,9,7,2,8,0,3,19,10,6,14,15,13,11,17,1,16,12
13,18,1,14,12,9,5,19,8,15,16,10,2,6,17,7,0,3,11,4
16,4,1,2,9,6,14,3,7,15,18,12,5,17,19,10,11,8,0,13
2,7,8,5,3,0,6,15,9,17,14,13,16,1,11,18,10,12,4,19
2,1,0,7,10,3,11,4,19,16,15,14,6,17,9,5,8,18,13,12
7,15,4,11,12,5,2,10,1,19,18,16,13,0,17,14,9,3,6,8
13,2,0,11,4,17,15,6,18,1,3,5,12,8,7,16,9,19,14,10
15,4,13,18,8,10,7,9,12,14,6,1,16,0,2,11,3,19,17,5
