0,2,6,1,7,11,5,3,4,8,14,9,16,12,10,15,13,17,19,18
0,1,2,3,6,7,8,4,5,9,10,11,14,12,13,16,19,15,18,17
3,0,4,1,7,8,6,2,5,10,11,9,12,16,14,13,15,19,17,18
4,0,5,2,6,10,1,7,3,8,9,14,11,12,16,13,15,17,18,19
0,1,4,3,6,9,5,2,8,7,10,11,12,14,15,13,18,16,17,19
1,2,0,6,5,9,4,7,3,8,11,12,13,10,15,16,17,18,14,19
2,0,3,5,7,8,1,4,6,10,9,11,12,13,14,15,16,17,19,18
0,3,9,1,5,10,4,2,6,7,13,11,14,12,15,8,16,17,19,18
0,3,10,1,6,7,4,2,5,8,9,13,11,12,14,18,15,17,16,19
0,3,6,1,7,8,2,5,4,9,11,10,12,16,13,15,14,17,18,19
0,4,8,1,5,7,2,3,6,10,9,12,11,13,14,16,17,15,18,19
0,1,5,4,6,7,2,9,3,11,10,12,13,14,15,8,17,16,19,18
