1,0,6,2,8,9,3,5,4,7,11,10,12,14,13,17,16,18,15,19
0,2,6,1,5,10,3,7,4,8,9,12,13,11,15,14,17,16,18,19
0,3,6,2,9,7,4,1,5,8,11,13,15,10,14,12,16,19,17,18
0,1,7,2,8,12,3,5,6,9,4,11,13,10,14,18,17,15,16,19
2,0,5,3,8,11,1,4,6,7,10,9,12,14,17,19,16,18,13,15
1,0,8,2,7,6,3,4,5,9,10,11,14,12,13,15,19,18,16,17
2,0,7,1,6,8,3,4,5,10,9,12,13,14,11,16,15,18,19,17
2,0,6,1,8,7,3,4,5,9,13,10,11,12,14,15,16,17,19,18
0,1,6,3,9,7,4,2,5,8,10,12,11,13,14,15,16,17,18,19
1,0,8,2,6,9,3,5,4,7,10,11,13,12,16,14,15,17,18,19
1,3,4,2,7,8,0,5,6,9,10,12,13,14,11,17,15,16,18,19
3,5,9,1,4,6,0,7,2,8,10,11,12,13,16,14,15,17,18,19
