7,8,5,9,0,10,1,2,4,12,11,3,6,13,15,16,17,14,18,19
7,10,8,6,1,9,2,0,5,11,12,3,4,13,16,18,14,17,19,15
5,8,6,9,1,11,2,0,3,13,12,4,7,10,14,15,17,16,18,19
5,6,9,10,2,8,0,3,1,7,11,4,12,13,14,17,15,16,18,19
5,7,8,10,0,13,2,1,3,9,14,4,6,12,15,17,11,16,18,19
6,4,8,10,1,9,0,2,5,11,12,3,7,15,13,14,19,16,18,17
3,9,5,12,0,8,4,1,2,11,15,6,7,16,10,13,17,19,14,18
5,8,7,10,2,9,0,1,4,12,13,3,6,14,11,15,16,17,18,19
3,5,9,10,1,8,0,2,6,13,14,7,4,12,11,15,19,16,18,17
7,4,8,10,1,12,0,2,5,9,11,6,3,13,15,14,16,19,17,18
5,7,8,11,3,9,0,1,2,10,14,6,4,12,15,13,16,17,18,19
7,6,8,3,0,14,1,4,2,11,10,5,9,12,15,16,13,17,18,19
