0,7,6,8,1,12,9,2,10,14,18,3,13,15,4,16,5,19,11,17
0,7,8,5,3,10,9,1,12,11,13,2,14,15,6,17,4,16,18,19
1,3,6,9,0,10,11,2,8,13,15,4,14,18,5,12,7,17,16,19
0,5,8,9,1,4,11,2,12,10,14,3,13,15,7,16,6,17,19,18
0,6,7,8,2,9,10,4,12,11,13,3,15,14,1,16,5,17,19,18
0,6,8,7,1,9,10,4,12,13,11,3,16,17,2,19,5,15,14,18
2,5,7,9,1,11,8,3,12,13,10,0,14,15,6,16,4,17,19,18
0,7,5,8,2,9,11,1,13,10,12,3,14,15,6,16,4,18,17,19
0,7,6,9,2,8,11,5,10,13,17,1,12,15,3,16,4,14,18,19
0,4,11,6,1,9,8,2,10,13,12,3,14,15,7,16,5,17,18,19
0,5,7,9,4,14,8,2,11,12,10,1,16,19,3,13,6,15,17,18
1,7,6,8,2,9,11,3,10,12,13,5,14,17,0,15,4,19,18,16
