1,4,5,8,0,9,6,3,2,7,11,13,12,14,10,17,18,19,15,16
3,4,8,10,1,2,0,5,6,7,9,11,12,13,14,15,18,16,17,19
0,9,3,11,4,7,1,2,5,6,10,8,12,14,13,17,16,19,15,18
3,5,6,11,10,9,1,4,0,7,12,13,18,8,14,2,15,16,17,19
1,9,6,7,0,8,2,4,3,5,10,11,17,12,15,13,14,16,18,19
2,3,1,8,6,11,5,0,7,4,13,9,17,14,10,18,15,12,16,19
0,7,9,10,1,3,2,5,6,4,12,15,13,8,14,11,18,16,17,19
5,4,8,6,0,7,1,3,2,9,10,11,13,12,14,15,17,18,16,19
1,2,4,10,3,9,0,5,7,8,6,15,11,16,14,18,12,19,17,13
1,5,9,8,0,10,3,2,6,4,11,12,7,17,13,18,15,14,19,16
3,2,7,8,1,6,5,0,4,11,10,9,15,14,17,12,13,19,18,16
5,7,6,4,0,11,10,1,3,2,8,12,9,13,14,17,18,15,16,19
