9,15,12,0,2,10,1,4,19,17,5,13,3,6,7,14,11,16,8,18
5,13,0,7,11,12,2,1,16,10,18,14,4,6,3,8,15,17,9,19
2,13,5,0,3,11,4,1,8,15,7,17,6,9,12,10,14,19,16,18
2,17,9,16,3,14,6,8,0,7,15,11,5,1,4,10,13,19,12,18
7,8,9,5,0,17,2,1,14,16,3,12,11,6,18,19,13,15,4,10
0,1,2,7,10,17,4,13,9,6,11,16,3,15,8,5,14,19,18,12
0,1,9,7,13,11,2,3,6,19,4,5,15,17,16,8,10,12,18,14
7,0,17,6,2,4,11,1,15,3,8,10,14,9,19,12,16,13,5,18
0,10,9,11,1,13,6,3,7,5,19,16,14,2,12,8,18,4,17,15
5,6,7,0,2,13,4,9,8,1,11,3,16,12,10,15,14,19,17,18
6,11,16,5,14,1,2,0,7,10,4,8,17,9,12,15,13,18,3,19
2,5,6,1,0,9,8,4,12,3,15,7,11,14,16,10,18,13,17,19
