0,3,5,7,4,10,8,1,2,9,6,17,11,12,13,14,18,15,19,16
0,7,8,1,9,5,2,3,4,6,10,12,16,13,11,19,15,14,18,17
1,0,8,2,4,7,14,5,3,11,6,10,13,18,12,9,15,16,17,19
2,0,8,5,1,7,6,4,12,3,10,11,9,14,17,16,18,13,15,19
0,2,7,1,4,8,3,5,6,9,10,12,16,11,17,13,18,14,15,19
0,2,6,1,7,8,3,4,5,10,11,9,15,16,12,13,14,18,17,19
0,1,5,2,3,9,8,4,6,13,11,7,12,10,14,19,16,18,17,15
0,1,5,3,11,13,9,2,4,6,14,8,7,10,12,16,15,18,19,17
0,4,7,5,3,8,1,6,2,9,16,12,15,19,10,11,14,13,18,17
2,0,6,1,7,8,5,3,4,10,13,9,17,15,11,12,14,16,18,19
1,4,2,0,7,9,5,6,11,3,8,13,15,16,12,18,10,14,17,19
2,0,7,1,10,5,4,3,6,8,9,11,12,15,18,13,16,14,17,19
