0,1,6,4,2,8,3,7,12,5,11,10,9,16,15,17,13,18,14,19
2,0,5,1,6,4,3,7,8,10,9,11,12,15,18,13,16,14,17,19
4,0,5,3,1,7,6,8,2,9,12,10,11,14,13,15,17,16,18,19
1,4,0,2,5,7,3,9,8,6,12,10,11,14,16,15,19,17,18,13
1,5,3,2,0,4,6,9,8,10,11,12,15,7,17,13,16,14,18,19
4,0,1,7,3,2,5,9,12,8,6,10,11,13,15,14,16,17,18,19
2,0,4,6,1,3,7,8,9,10,5,13,15,17,14,11,12,19,16,18
2,0,1,5,6,10,3,4,9,7,8,11,12,13,16,17,15,19,14,18
0,2,3,7,1,4,6,5,10,8,15,13,9,12,11,14,18,17,16,19
4,0,5,6,3,1,2,9,10,8,13,7,11,12,15,14,17,18,16,19
2,0,4,1,3,5,7,6,11,9,8,14,15,10,12,13,16,17,18,19
0,2,5,3,1,4,8,6,7,9,11,12,10,16,15,17,13,14,19,18
