1,0,3,9,5,11,6,7,2,8,10,4,18,13,14,16,15,12,19,17
1,12,6,16,3,8,5,0,10,17,2,15,13,19,7,11,9,14,4,18
0,9,8,3,1,7,6,4,11,5,2,10,15,14,17,13,18,19,12,16
3,0,11,7,2,12,1,13,9,8,16,5,18,6,4,10,19,17,15,14
3,13,8,2,0,9,6,5,4,12,10,1,7,11,18,14,15,17,16,19
5,15,13,3,7,9,8,2,10,6,11,1,0,12,19,4,17,16,14,18
5,0,8,2,3,18,6,11,17,1,10,14,12,13,7,9,15,19,4,16
4,15,3,9,5,12,2,6,7,10,0,8,13,1,11,19,14,16,17,18
2,10,11,6,7,16,12,3,0,5,9,15,8,14,1,4,13,19,17,18
2,14,16,8,7,4,0,5,6,1,9,17,3,12,18,11,15,13,19,10
2,3,13,4,5,14,9,0,1,6,8,17,7,10,11,12,18,16,15,19
13,4,2,11,1,5,18,0,10,3,7,9,14,8,15,17,12,6,16,19
