19,1,13,15,16,2,17,6,4,12,11,18,9,5,14,0,3,8,7,10
17,11,19,2,14,1,7,15,13,16,0,9,12,5,4,8,6,18,10,3
12,4,11,0,13,8,10,16,7,2,1,15,3,19,18,9,17,6,5,14
1,8,15,19,10,17,12,6,16,4,5,14,9,11,18,2,13,3,7,0
14,1,18,16,19,7,15,9,12,11,0,3,17,8,13,6,4,5,2,10
5,15,6,8,3,10,11,19,7,4,14,18,1,13,17,9,12,2,0,16
9,6,3,12,2,0,7,10,11,5,19,13,8,4,17,14,15,1,16,18
16,0,2,8,3,14,11,4,10,12,9,15,7,18,1,17,5,19,13,6
8,14,12,1,13,19,10,18,6,9,4,2,16,5,15,11,0,3,17,7
19,9,8,13,7,3,17,1,12,14,2,11,4,18,16,10,0,6,15,5
2,16,18,1,6,8,0,12,15,10,9,11,14,7,17,19,3,4,13,5
19,6,5,3,1,14,17,16,4,0,2,12,9,18,8,15,7,10,13,11
