6,8,14,16,0,4,10,2,9,19,15,1,3,17,5,13,11,12,7,18
4,12,0,5,13,3,8,1,9,10,14,19,15,18,2,6,7,16,17,11
1,9,3,0,6,13,5,4,11,17,15,10,7,12,14,18,2,8,19,16
1,3,15,5,11,7,12,4,17,6,13,9,19,10,0,14,2,18,8,16
0,7,1,8,11,9,14,2,10,13,12,4,6,16,5,18,3,19,17,15
0,6,17,9,8,7,4,14,13,19,16,2,15,10,1,18,3,5,11,12
1,3,0,4,5,15,7,10,16,8,18,2,13,17,14,6,9,12,11,19
1,5,4,14,10,9,12,3,15,13,2,7,11,16,8,0,6,17,18,19
4,15,7,8,9,6,12,2,0,11,10,1,18,14,3,17,5,13,19,16
6,3,4,10,7,9,12,0,15,19,11,17,8,13,1,5,2,14,16,18
0,2,6,1,5,10,15,4,3,8,14,11,9,12,7,13,19,16,17,18
0,8,15,5,4,14,7,10,16,11,3,12,9,6,1,13,2,17,18,19
