1,5,9,8,3,12,7,0,10,11,13,2,15,17,4,16,6,18,14,19
0,9,6,7,1,5,10,8,12,11,13,2,14,15,3,17,4,16,18,19
0,5,9,7,1,8,11,2,14,12,13,3,16,10,4,15,6,18,17,19
0,6,11,7,1,8,12,2,9,14,13,4,10,15,3,18,5,16,17,19
0,6,7,8,1,9,12,2,10,11,15,3,13,14,4,16,5,17,18,19
1,6,7,8,2,9,12,0,11,10,17,3,14,15,4,13,5,16,18,19
1,6,10,7,0,8,11,2,12,9,13,3,14,17,4,18,5,16,15,19
4,8,5,2,1,9,11,0,12,10,17,3,13,14,6,18,7,15,16,19
0,6,9,8,1,11,7,2,10,12,14,3,16,15,5,13,4,17,19,18
1,6,7,8,2,9,10,3,14,15,11,0,12,13,5,16,4,17,18,19
0,4,7,9,1,6,12,2,14,8,11,3,16,10,5,15,13,17,19,18
1,9,5,10,0,8,12,2,7,15,13,3,11,14,4,16,6,18,19,17
