3,18,6,1,2,13,14,11,9,4,8,5,16,10,0,17,15,19,12,7
15,9,19,5,7,1,6,17,16,18,2,8,14,3,13,4,11,10,12,0
4,2,0,15,12,10,6,18,17,5,13,8,11,19,7,3,16,1,9,14
19,17,12,5,4,6,1,14,13,11,16,7,3,2,18,10,8,9,0,15
18,6,7,11,1,9,2,15,5,14,13,0,12,8,19,16,10,4,3,17
17,10,18,2,3,14,12,0,1,16,5,9,4,6,7,15,11,19,13,8
0,2,3,13,9,16,10,5,15,6,12,17,1,4,8,18,11,19,14,7
6,3,8,5,12,9,17,14,10,2,7,4,0,1,15,11,19,16,13,18
8,2,14,19,10,11,0,7,15,3,6,13,1,17,4,16,18,12,5,9
19,7,1,5,0,12,18,3,9,15,16,13,4,10,14,2,8,11,6,17
1,13,8,2,7,0,18,5,15,17,9,3,19,4,11,12,16,10,14,6
3,14,2,18,0,15,11,9,8,17,16,5,13,12,7,6,1,4,19,10
